source_file,source_system,omop_vocabulary_id,is_assumed_default,rationale
conditions,http://snomed.info/sct,SNOMED,false,FHIR system URI emitted by newer Synthea exporters
conditions,SNOMED-CT,SNOMED,false,Synthea module system label
conditions,SNOMED,SNOMED,false,Already an OMOP vocabulary id
conditions,(default),SNOMED,true,MAP-01 table-level default when SYSTEM is absent or blank (Synthea conditions are SNOMED coded)
medications,(default),RxNorm,true,MAP-01 table-level default: Synthea medications.csv has no SYSTEM column and is RxNorm coded
observations,(default),LOINC,true,MAP-01 table-level default: Synthea observations.csv has no SYSTEM column and is LOINC coded
